customer_id,total_tickets,avg_wait,avg_csat,escalation_rate,sla_breach_rate,refund_rate,segment,segment_name
CUST000001,4,25.75,4.75,0.25,0.25,0.5,2,High Risk
CUST000002,7,18.142857142857142,3.857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,2,High Risk
CUST000003,3,33.333333333333336,4.0,0.0,0.3333333333333333,1.0,3,Frustrated & Waiting
CUST000004,7,25.428571428571427,3.5714285714285716,0.0,0.2857142857142857,0.2857142857142857,0,At Risk
CUST000005,7,30.571428571428573,3.7142857142857144,0.0,0.42857142857142855,0.42857142857142855,3,Frustrated & Waiting
CUST000006,8,16.125,3.125,0.0,0.125,0.125,0,At Risk
CUST000007,7,30.571428571428573,4.142857142857143,0.14285714285714285,0.42857142857142855,0.5714285714285714,3,Frustrated & Waiting
CUST000008,3,15.666666666666666,4.0,0.3333333333333333,0.0,0.0,2,High Risk
CUST000009,4,30.25,3.75,0.25,0.75,0.5,3,Frustrated & Waiting
CUST000010,6,27.833333333333332,3.5,0.3333333333333333,0.3333333333333333,0.5,2,High Risk
CUST000011,4,15.75,3.5,0.0,0.25,0.25,1,Happy & Efficient
CUST000012,4,18.0,3.5,0.25,0.25,0.0,2,High Risk
CUST000013,4,21.5,4.0,0.0,0.25,0.25,1,Happy & Efficient
CUST000014,5,42.0,4.0,0.0,0.6,0.6,3,Frustrated & Waiting
CUST000015,9,18.77777777777778,3.7777777777777777,0.1111111111111111,0.1111111111111111,0.5555555555555556,0,At Risk
CUST000016,6,10.333333333333334,4.0,0.0,0.0,0.16666666666666666,1,Happy & Efficient
CUST000017,6,32.5,3.8333333333333335,0.0,0.5,0.6666666666666666,3,Frustrated & Waiting
CUST000018,3,27.666666666666668,3.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,3,Frustrated & Waiting
CUST000019,7,24.857142857142858,3.7142857142857144,0.0,0.2857142857142857,0.8571428571428571,0,At Risk
CUST000020,6,21.166666666666668,3.6666666666666665,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,At Risk
CUST000021,3,26.0,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,High Risk
CUST000022,2,14.5,3.5,0.0,0.0,0.5,1,Happy & Efficient
CUST000023,5,22.4,4.0,0.0,0.4,0.8,3,Frustrated & Waiting
CUST000024,6,33.166666666666664,4.5,0.0,0.5,0.5,3,Frustrated & Waiting
CUST000025,5,34.2,3.6,0.0,0.4,1.0,3,Frustrated & Waiting
CUST000026,5,21.8,3.8,0.4,0.4,0.0,2,High Risk
CUST000027,10,23.2,3.7,0.0,0.3,0.3,0,At Risk
CUST000028,7,25.285714285714285,3.4285714285714284,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,High Risk
CUST000029,3,24.333333333333332,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,High Risk
CUST000030,7,10.285714285714286,3.4285714285714284,0.0,0.0,0.2857142857142857,1,Happy & Efficient
CUST000031,10,23.0,4.0,0.0,0.3,0.5,0,At Risk
CUST000032,7,20.428571428571427,3.857142857142857,0.0,0.2857142857142857,0.0,0,At Risk
CUST000033,4,34.5,4.0,0.0,0.5,0.5,3,Frustrated & Waiting
CUST000034,4,20.0,3.0,0.25,0.25,0.25,2,High Risk
CUST000035,5,13.6,4.2,0.0,0.0,0.6,1,Happy & Efficient
CUST000036,14,17.071428571428573,3.857142857142857,0.21428571428571427,0.07142857142857142,0.5714285714285714,0,At Risk
CUST000037,5,21.2,4.0,0.2,0.2,0.6,2,High Risk
CUST000038,7,18.0,4.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,At Risk
